name;growthRate;region;district;archived;externalID
Märkisches-Viertel;0;Berlin;SK Berlin Reinickendorf;0;16077114
Wittenau/Borsigwalde;0;Berlin;SK Berlin Reinickendorf;0;16077113
Grüner-Norden;0;Berlin;SK Berlin Reinickendorf;0;16077112
Tegel;0;Berlin;SK Berlin Reinickendorf;0;16077111
Reinickendorf-Ost;0;Berlin;SK Berlin Reinickendorf;0;16077110
Lichtenberg-Süd;0;Berlin;SK Berlin Lichtenberg;0;16077109
Lichtenberg-Mitte;0;Berlin;SK Berlin Lichtenberg;0;16077108
Lichtenberg-Nord;0;Berlin;SK Berlin Lichtenberg;0;16077107
Hohenschönhausen-Süd;0;Berlin;SK Berlin Lichtenberg;0;16077106
Hohenschönhausen-Nord;0;Berlin;SK Berlin Lichtenberg;0;16077105
Kaulsdorf/Mahlsdorf;0;Berlin;SK Berlin Marzahn-Hellersdorf;0;16077104
Biesdorf;0;Berlin;SK Berlin Marzahn-Hellersdorf;0;16077103
Hellersdorf;0;Berlin;SK Berlin Marzahn-Hellersdorf;0;16077102
Marzahn;0;Berlin;SK Berlin Marzahn-Hellersdorf;0;16077101
Treptow-Köpenick (100);0;Berlin;SK Berlin Treptow-Köpenick;0;16077100
Treptow-Köpenick (099);0;Berlin;SK Berlin Treptow-Köpenick;0;16077099
Treptow-Köpenick (098);0;Berlin;SK Berlin Treptow-Köpenick;0;16077098
Treptow-Köpenick (097);0;Berlin;SK Berlin Treptow-Köpenick;0;16077097
Treptow-Köpenick (096);0;Berlin;SK Berlin Treptow-Köpenick;0;16077096
Buckow-Nord/Rudow;0;Berlin;SK Berlin Neukölln;0;16077095
Gropiusstadt;0;Berlin;SK Berlin Neukölln;0;16077094
Britz/Buckow;0;Berlin;SK Berlin Neukölln;0;16077093
Neukölln;0;Berlin;SK Berlin Neukölln;0;16077092
Marienfelde/Lichtenrade;0;Berlin;SK Berlin Tempelhof-Schöneberg;0;16077091
Mariendorf;0;Berlin;SK Berlin Tempelhof-Schöneberg;0;16077090
Tempelhof;0;Berlin;SK Berlin Tempelhof-Schöneberg;0;16077089
Friedenau;0;Berlin;SK Berlin Tempelhof-Schöneberg;0;16077088
Schöneberg-Süd;0;Berlin;SK Berlin Tempelhof-Schöneberg;0;16077087
