name;epidCode;growthRate;region;archived;externalID
SK Flensburg;FL;0;Schleswig-Holstein;0;11001001
SK Kiel;KI;0;Schleswig-Holstein;0;11001002
SK Lübeck;HL;0;Schleswig-Holstein;0;11001003
SK Neumünster;NMS;0;Schleswig-Holstein;0;11001004
LK Dithmarschen;HEI;0;Schleswig-Holstein;0;11001051
LK Herzogtum Lauenburg;RZ;0;Schleswig-Holstein;0;11001053
LK Nordfriesland;NF;0;Schleswig-Holstein;0;11001054
LK Ostholstein;OLD;0;Schleswig-Holstein;0;11001055
LK Pinneberg;PI;0;Schleswig-Holstein;0;11001056
LK Plön;PLÖ;0;Schleswig-Holstein;0;11001057
LK Rendsburg-Eckernförde;RD;0;Schleswig-Holstein;0;11001058
LK Schleswig-Flensburg;SL;0;Schleswig-Holstein;0;11001059
LK Segeberg;SE;0;Schleswig-Holstein;0;11001060
LK Steinburg;IZ;0;Schleswig-Holstein;0;11001061
LK Stormarn;OD;0;Schleswig-Holstein;0;11001062
SK Hamburg;HH;0;Hamburg;0;11002000
SK Braunschweig;BS;0;Niedersachsen;0;11003101
SK Salzgitter;SZ;0;Niedersachsen;0;11003102
SK Wolfsburg;WOB;0;Niedersachsen;0;11003103
LK Gifhorn;GF;0;Niedersachsen;0;11003151
LK Göttingen (alt);GÖ;0;Niedersachsen;0;11003152
LK Goslar;GS;0;Niedersachsen;0;11003153
LK Helmstedt;HE;0;Niedersachsen;0;11003154
LK Northeim;NOM;0;Niedersachsen;0;11003155
LK Osterode am Harz;OHA;0;Niedersachsen;0;11003156
LK Peine;PE;0;Niedersachsen;0;11003157
LK Wolfenbüttel;WF;0;Niedersachsen;0;11003158
LK Göttingen;GÖ;0;Niedersachsen;0;11003159
Region Hannover;H;0;Niedersachsen;0;11003241
LK Diepholz;DH;0;Niedersachsen;0;11003251
LK Hameln-Pyrmont;HM;0;Niedersachsen;0;11003252
LK Hildesheim;HI;0;Niedersachsen;0;11003254
LK Holzminden;HOL;0;Niedersachsen;0;11003255
LK Nienburg (Weser);NI;0;Niedersachsen;0;11003256
LK Schaumburg;STH;0;Niedersachsen;0;11003257
LK Celle;CE;0;Niedersachsen;0;11003351
