name,epidCode,growthRate,region,archived,externalID,uuid
SK Flensburg,FL,0,Schleswig-Holstein,0,11001001,b63bde91-099f-564f-a82f-b88406c6580a
SK Kiel,KI,0,Schleswig-Holstein,0,11001002,78e852f6-1af8-5750-b9a4-25a30e1f4148
SK Lübeck,HL,0,Schleswig-Holstein,0,11001003,9ac63d1b-54de-5b0e-9144-77916ddf36c2
SK Neumünster,NMS,0,Schleswig-Holstein,0,11001004,ba37df5e-21c3-5bde-9498-da9201b06ae4
LK Dithmarschen,HEI,0,Schleswig-Holstein,0,11001051,b6bb9099-7fad-5579-8b60-7e55cdf479d2
LK Herzogtum Lauenburg,RZ,0,Schleswig-Holstein,0,11001053,fff87e48-9784-576c-b37c-e1a4d659a4ff
LK Nordfriesland,NF,0,Schleswig-Holstein,0,11001054,6f3e3380-0b02-50d3-b83c-770a459523a5
LK Ostholstein,OLD,0,Schleswig-Holstein,0,11001055,5b50fb8c-9cee-5287-971c-e2f765e15d8c
LK Pinneberg,PI,0,Schleswig-Holstein,0,11001056,1ee3860c-06cc-599f-a914-8527ca07a7c9
LK Plön,PLÖ,0,Schleswig-Holstein,0,11001057,4570a199-3b0d-5a3e-8e33-90b4ded5aca4
LK Rendsburg-Eckernförde,RD,0,Schleswig-Holstein,0,11001058,243b7101-8bc2-535a-9544-69fa3cd15701
LK Schleswig-Flensburg,SL,0,Schleswig-Holstein,0,11001059,127c7476-d90a-54b6-ba49-22ee1f830be5
LK Segeberg,SE,0,Schleswig-Holstein,0,11001060,8c1707e7-fe90-5398-a897-9b1cfe6d0ecd
LK Steinburg,IZ,0,Schleswig-Holstein,0,11001061,3c4d74cd-f25e-5250-bf6e-247579b9ddfd
LK Stormarn,OD,0,Schleswig-Holstein,0,11001062,8a72d5a8-f389-54c2-a4bc-c4957c7e6334
SK Hamburg,HH,0,Hamburg,0,11002000,df100a51-43df-5868-921d-4be48dc92adb
SK Braunschweig,BS,0,Niedersachsen,0,11003101,5ebf08d1-2047-5e46-a6d3-4a7533aa77c0
SK Salzgitter,SZ,0,Niedersachsen,0,11003102,bca556ca-4e74-5348-8a26-d9bbcfbb317f
SK Wolfsburg,WOB,0,Niedersachsen,0,11003103,e3102f9a-3b5c-507c-bbf7-c022d2e6c136
LK Gifhorn,GF,0,Niedersachsen,0,11003151,754e5beb-113c-5460-ad7d-eeebd84d310d
LK Göttingen (alt),GÖ,0,Niedersachsen,0,11003152,7a81db55-69a3-5754-9dc2-040a862d7e9d
LK Goslar,GS,0,Niedersachsen,0,11003153,66291334-093a-5798-825f-a926751ef6ce
LK Helmstedt,HE,0,Niedersachsen,0,11003154,cb0eb086-ed6e-5b2b-8c4f-97d1c4aa8332
LK Northeim,NOM,0,Niedersachsen,0,11003155,6eff2f09-1686-5100-9541-f9fb066ab3e9
LK Osterode am Harz,OHA,0,Niedersachsen,0,11003156,010b0217-49c9-5cc2-aa03-b18180d09f0f
LK Peine,PE,0,Niedersachsen,0,11003157,ab7d300a-89bd-54ae-b8ec-d868fbe62a2d
LK Wolfenbüttel,WF,0,Niedersachsen,0,11003158,9bd774c0-6cf0-50d0-bd71-b32427867303
LK Göttingen,GÖ,0,Niedersachsen,0,11003159,89292e43-87f7-5846-aa62-1d973e0814ba
Region Hannover,H,0,Niedersachsen,0,11003241,479f7c37-2eb7-56ec-98e2-a466ad2a1b3c
LK Diepholz,DH,0,Niedersachsen,0,11003251,abc678dc-fad7-5185-a264-c56c45f702a1
LK Hameln-Pyrmont,HM,0,Niedersachsen,0,11003252,94ec2644-ef1f-5853-9bcf-0492d81eca96
LK Hildesheim,HI,0,Niedersachsen,0,11003254,61beee37-2844-5cd2-979b-9214d5bd8c03
LK Holzminden,HOL,0,Niedersachsen,0,11003255,365af0b4-c974-5362-89a6-6b9d83940bb2
LK Nienburg (Weser),NI,0,Niedersachsen,0,11003256,2a9b7fb2-85b8-524b-a714-a633fab8c1e9
LK Schaumburg,STH,0,Niedersachsen,0,11003257,2398f8cf-702d-5014-afcd-46b5b017160f
LK Celle,CE,0,Niedersachsen,0,11003351,395112b7-62b7-5e8c-8799-226b6b5bbd23
LK Cuxhaven,WEM,0,Niedersachsen,0,11003352,1326415f-2432-582b-b9a7-51938ded60fe
LK Harburg,WL,0,Niedersachsen,0,11003353,a534c1a1-b2ce-5858-90ed-c276d5191338
LK Lüchow-Dannenberg,DAN,0,Niedersachsen,0,11003354,7633dc1e-4b10-5e0a-b9e4-7f1b10407362
LK Lüneburg,LG,0,Niedersachsen,0,11003355,d5187eeb-acfa-50cf-9929-d379efe89635
LK Osterholz,OHZ,0,Niedersachsen,0,11003356,2f18347b-a0bc-55fd-a679-53d0ec22f52d
LK Rotenburg (Wümme),ROW,0,Niedersachsen,0,11003357,b9c793b4-1b94-569d-a728-a62ef3f9ac47
LK Heidekreis,SOL,0,Niedersachsen,0,11003358,d8301c0e-decb-5fd6-b512-4b86c9a81e45
LK Stade,STD,0,Niedersachsen,0,11003359,95a86082-14c9-50d9-8e01-067a0ad33566
LK Uelzen,UE,0,Niedersachsen,0,11003360,540914d0-1f46-592c-8cbf-0b949bddfe54
LK Verden,VER,0,Niedersachsen,0,11003361,3a0ff8d0-7d46-5c1d-b87f-feda7f2d30b4
SK Delmenhorst,DEL,0,Niedersachsen,0,11003401,1ef4f0c2-5585-53ad-af93-3577becf2391
SK Emden,EMD,0,Niedersachsen,0,11003402,b8ab80aa-8ad7-5ae2-b669-dee6eeb37337
SK Oldenburg,OL,0,Niedersachsen,0,11003403,a0cef009-a28b-5fb8-a4bd-1c3805ef54cf
SK Osnabrück,OS,0,Niedersachsen,0,11003404,dcbb42bb-d2d7-5204-91b2-4f140366a0bc
SK Wilhelmshaven,WHV,0,Niedersachsen,0,11003405,4a70851b-c17f-5e6e-91b6-44d65be6b735
LK Ammerland,WST,0,Niedersachsen,0,11003451,b22cd852-fd1c-507d-a45b-36bef0c81cab
LK Aurich,AUR,0,Niedersachsen,0,11003452,5905228f-055c-5089-bc6b-671d5a7dfdc5
LK Cloppenburg,CLP,0,Niedersachsen,0,11003453,42b9a0b4-f67c-54a0-b2df-827cc14d448e
LK Emsland,MEP,0,Niedersachsen,0,11003454,76050b3a-1cdd-596f-832f-aa2e3a117a1f
LK Friesland,JEV,0,Niedersachsen,0,11003455,9269ebe6-a39d-5621-8751-b6a8e2689b80
LK Grafschaft Bentheim,NOH,0,Niedersachsen,0,11003456,ff6318dd-3cfb-575b-800d-88359f707788
LK Leer,LER,0,Niedersachsen,0,11003457,e17b59be-cb2a-518d-8529-3bd0bf72ea3f
LK Oldenburg,OL,0,Niedersachsen,0,11003458,3df21b6e-2614-564f-a712-f6eb90b16874
LK Osnabrück,OS,0,Niedersachsen,0,11003459,4cd9c908-53d6-5424-a0d9-2bc8d2d47c7c
LK Vechta,VEC,0,Niedersachsen,0,11003460,2ba8e2dd-ffa4-546b-9541-feda4699f322
LK Wesermarsch,BRA,0,Niedersachsen,0,11003461,472559d1-a4e3-530d-8169-7353812f8ffc
LK Wittmund,WTM,0,Niedersachsen,0,11003462,c1649c68-f4f7-51c9-bea7-00d7c2c59578
SK Bremen,HB,0,Bremen,0,11004011,94d1d3f1-ec23-5a20-9845-ba4aa4a3005c
SK Bremerhaven,HB,0,Bremen,0,11004012,b3cbc409-8135-5b66-ac6a-7c39cf5776ae
SK Düsseldorf,D,0,Nordrhein-Westfalen,0,11005111,3cd38835-6a84-52f1-8b0a-ef15d75b5b2c
SK Duisburg,DU,0,Nordrhein-Westfalen,0,11005112,58660779-6343-54a7-bd1c-869ec99f7df4
SK Essen,E,0,Nordrhein-Westfalen,0,11005113,7fe371ac-ef30-5d71-81ee-93ee34a1e8af
SK Krefeld,KR,0,Nordrhein-Westfalen,0,11005114,60edb307-4a42-56ed-8307-10ea6f92adb3
SK Mönchengladbach,MG,0,Nordrhein-Westfalen,0,11005116,f35bc4db-d64b-5720-ad20-7219223d2238
SK Mülheim a.d.Ruhr,MH,0,Nordrhein-Westfalen,0,11005117,ba752a49-8b07-5631-bca3-c52ae0411a34
SK Oberhausen,OB,0,Nordrhein-Westfalen,0,11005119,ee7b1eb4-4d62-546c-81f1-e59ef06dec8d
SK Remscheid,RS,0,Nordrhein-Westfalen,0,11005120,6cbdd065-8cb4-5a2d-a86b-0e23513feb18
