name,epidCode,growthRate,archived,externalID,country,uuid
Baden-Württemberg,DE-BW,0,0,13000008,Germany,c555ccae-778d-5b0d-9ebd-8b55fb597e3b
Bayern,DE-BY,0,0,13000009,Germany,e87d5570-0402-51b0-89a1-2ffc901c2eac
Brandenburg,DE-BB,0,0,13000012,Germany,923da9a1-638d-5d10-9178-7fd377f5dbc4
Berlin,DE-BE,0,0,13000011,Germany,bfe6b47b-7f9a-50c2-8702-b612877c7dbf
Bremen,DE-HB,0,0,13000004,Germany,582e4191-f5f2-5d92-bea7-d6c72cfbec6d
Hamburg,DE-HH,0,0,13000002,Germany,325df3bc-9f2a-5978-b1f7-e769ef34c13a
Hessen,DE-HE,0,0,13000006,Germany,d033e05d-b207-55a4-9981-197866eef9f9
Mecklenburg-Vorpommern,DE-MV,0,0,13000013,Germany,603d552e-6d3e-5d89-b7c7-a40f5f1b228e
Niedersachsen,DE-NI,0,0,13000003,Germany,bd475a45-c27d-5535-a960-d5f2728460c8
Nordrhein-Westfalen,DE-NW,0,0,13000005,Germany,7e48e5f1-6104-596b-9b08-47427760c9f5
Rheinland-Pfalz,DE-RP,0,0,13000007,Germany,cc753d47-10c1-521b-b017-71713aa8287d
Saarland,DE-SL,0,0,13000010,Germany,534162fe-414c-5572-ada4-f0d95b901bdf
Sachsen,DE-SN,0,0,13000014,Germany,8cb01fea-ab0c-5e10-b65f-c3a670a95bdc
Sachsen-Anhalt,DE-ST,0,0,13000015,Germany,7f014bce-292e-5bd4-b05a-7ceecaac0302
Schleswig-Holstein,DE-SH,0,0,13000001,Germany,050ba8d1-6d1e-505c-a548-00b7ac175c55
Thüringen,DE-TH,0,0,13000016,Germany,969f5e0a-b0bc-594f-801f-1e999ed60044
